source,target,value
Rosetta_Stone,Mod_event_socket,1
Rosetta_Stone,Misc._Dialplan_Tools_system,1
Rosetta_Stone,Mod_shout,1
Rosetta_Stone,Misc._Dialplan_Tools_play_and_get_digits,1
Rosetta_Stone,Misc._Dialplan_Tools_redirect,1
Rosetta_Stone,Misc._Dialplan_Tools_bridge,1
Rosetta_Stone,Misc._Dialplan_Tools_strftime,1
Rosetta_Stone,Mod_local_stream,1
Rosetta_Stone,Misc._Dialplan_Tools_set_global,1
Rosetta_Stone,Misc._Dialplan_Tools_execute_extension,1
Rosetta_Stone,Event_Socket_Outbound,1
Rosetta_Stone,Misc._Dialplan_Tools_park,1
Rosetta_Stone,Misc._Dialplan_Tools_info,1
Rosetta_Stone,Mod_voicemail,1
Rosetta_Stone,Fs_cli,1
Rosetta_Stone,Misc._Dialplan_Tools_answer,1
Rosetta_Stone,Mod_xml_curl,1
Rosetta_Stone,Mod_callcenter,1
Rosetta_Stone,Misc._Dialplan_Tools_ivr,1
Rosetta_Stone,Loopback,1
Rosetta_Stone,Misc._Dialplan_Tools_gentones,1
Rosetta_Stone,Misc._Dialplan_Tools_set,1
Rosetta_Stone,Misc._Dialplan_Tools_playback,1
Rosetta_Stone,Mod_ldap,1
Rosetta_Stone,FreeSwitch_Scheduler_API,1
Rosetta_Stone,Misc._Dialplan_Tools_pre_answer,1
Rosetta_Stone,Misc._Dialplan_Tools_sched_hangup,1
Rosetta_Stone,Misc._Dialplan_Tools_record,1
Rosetta_Stone,Mod_conference,1
Rosetta_Stone,Getting_Started_Guide,1
Rosetta_Stone,Time_of_Day_Routing,1
Javascript_Session_Speak,Session,1
Mod_shout,Playing_recording_external_media,1
Mod_cepstral,Sounds_callie,1
Mod_cepstral,FreeSwitch_Dependencies,1
Mod_cepstral,Session_speak,1
Mod_cepstral,Mod_unimrcp,1
Mod_unimrcp,Misc._Dialplan_Tools_play_and_detect_speech,1
ODBC.query,ODBC,1
ODBC.query,ODBC_Example,1
ODBC.query,ODBC.execute,1
ODBC.nextRow,ODBC,1
ODBC.nextRow,ODBC_Example,1
ODBC.getData,ODBC,1
ODBC.getData,ODBC_Example,1
Mod_dingaling,Modules.conf.xml,1
Mod_dingaling,Ixemel_MSVS_project_example,1
Mod_dingaling,Dingaling.conf.xml,1
Home_PBX_Example,SIP_Provider_Examples,1
Mod_vmd,Misc._Dialplan_Tools_wait_for_silence,1
Mod_vmd,Mod_avmd,1
Build_mod_shout,Mod_shout,1
Hangup_causes,Misc._Dialplan_Tools_respond,1
Hangup_causes,SIP_Protocol_Messages,1
Hangup_causes,Misc._Dialplan_Tools_redirect,1
Hangup_causes,Channel_Variables,1
Google_Voice,Dingaling,1
Google_Voice,Mod_cidlookup,1
Google_Voice,Mod_dingaling,1
Google_Voice,Google_Voice_API,1
ASR,Mod_unimrcp,1
ASR,Mod_pocketsphinx,1
CURL,FetchURLFile,1
CURL,FetchUrl,1
CURL,Run,1
CURL,Mod_xml_curl,1
CURL,Mod_curl,1
ODBC,ODBC.close,1
ODBC,Using_ODBC_in_the_core,1
ODBC,ODBC.getData,1
ODBC,ODBC.connect,1
ODBC,ODBC_Example,1
ODBC,ODBC.nextRow,1
ODBC,ODBC.exec,1
ODBC,Mod_spidermonkey_odbc,1
ODBC,ODBC.query,1
ODBC,ODBC.execute,1
DB,Javascript_DB_Close,1
DB,Javascript_DB_Prepare,1
DB,Javascript_DB_Fetch,1
DB,Javascript_DB_Path,1
DB,Javascript_DB_Exec,1
DB,Javascript_DB_Next,1
Mod_php,PHP_ESL,1
Mod_php,Event_Socket_Library,1
Mod_php,PHP_Event_Socket,1
Mod_ruby,Mod_perl,1
Mod_ruby,Javascript,1
Mod_ruby,Mod_lua,1
